약품명,성분명,제조사,처방구분
비오플250산,bacillus subtilis,일동제약,입원/외래
메디락디에스장용캡슐,lactic acid bacteria,한미약품,입원/외래
타이레놀정 500mg,acetaminophen,한국얀센,입원/외래
타이레놀이알서방정 650mg,acetaminophen,한국얀센,입원/외래
울트라셋이알서방정,tramadol/acetaminophen,한국얀센,입원/외래
트라마돌정 50mg,tramadol,근화제약,입원/외래
쎄레브렉스캡슐 200mg,celecoxib,한국화이자,외래
낙센정 250mg,naproxen,종근당,외래
이지엔6프로연질캡슐,dexibuprofen,대웅제약,외래
탁센연질캡슐,naproxen,녹십자,외래
록소닌정 60mg,loxoprofen,제일약품,외래
모빅정 7.5mg,meloxicam,베링거인겔하임,외래
조인스정 200mg,clematis/trichosanthes/prunella,에스케이케미칼,외래
신바로정,clematis/harpagophytum,녹십자,외래
스티렌정 60mg,artemisia,동아에스티,외래
가나톤정 50mg,itopride,한국애보트,외래
레보투스정,levodropropizine,현대약품,외래
코대원정,dihydrocodeine/guaifenesin,대원제약,외래
뮤코펙트정 30mg,ambroxol,한국베링거인겔하임,입원/외래
리나치올캡슐 375mg,carbocisteine,현대약품,외래
지르텍정 10mg,cetirizine,한국유씨비,외래
알레그라정 120mg,fexofenadine,한독,외래
씨잘정 5mg,levocetirizine,한국유씨비,외래
클라리틴정 10mg,loratadine,바이엘코리아,외래
싱귤레어정 10mg,montelukast,한국엠에스디,외래
오구멘틴정 375mg,amoxicillin/clavulanate,일성신약,입원/외래
오구멘틴듀오정 625mg,amoxicillin/clavulanate,일성신약,입원/외래
지스로맥스정 250mg,azithromycin,한국화이자,외래
크라비트정 500mg,levofloxacin,제일약품,입원/외래
시프로바이정 500mg,ciprofloxacin,바이엘코리아,입원/외래
세파클러캡슐 250mg,cefaclor,종근당,외래
듀로제식디트랜스패치 25mcg/h,fentanyl,한국얀센,입원
삼성가스터정 20mg,famotidine,삼성제약,입원/외래
